source_seed_group,keyword,avg_monthly_searches,three_month_change,yoy_change,competition,competition_index,top_of_page_bid_low,top_of_page_bid_high,suggested_target_url,keep_status,status_reason,data_scope
hotel,muebles para hoteles,500,0%,0%,中,52,12.99,55.80,/hoteles/,keep,酒店项目家具相关，可进入页面映射或正文辅助词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,mobiliario hotelero,50,0%,0%,中,48,16.81,64.11,/hoteles/,keep,酒店项目家具相关，可进入页面映射或正文辅助词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,muebles hoteleros,50,0%,0%,中,38,13.65,66.91,/hoteles/,keep,酒店项目家具相关，可进入页面映射或正文辅助词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,muebles para habitaciones de hotel,50,0%,0%,中,38,9.86,39.61,/catalogo/hoteles/habitaciones/,keep,酒店项目家具相关，可进入页面映射或正文辅助词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,muebles para lobby de hotel,50,0%,0%,中,47,9.41,20.55,/catalogo/hoteles/,keep,酒店项目家具相关，可进入页面映射或正文辅助词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,mobiliario para hoteles,50,0%,0%,中,50,11.49,56.84,/hoteles/,keep,酒店项目家具相关，可进入页面映射或正文辅助词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,muebles para hotel,500,0%,0%,中,52,12.99,55.80,/hoteles/,review,需人工复核,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,muebles hotel,50,0%,0%,低,14,18.53,62.88,/hoteles/,review,需人工复核,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,sillas hoteleras,50,0%,0%,中,44,3.55,84.11,/hoteles/,review,可能是酒店家具场景词，但要避免零售单品化,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,sillas para hoteles,50,0%,0%,中,36,9.39,77.97,/hoteles/,keep,酒店项目家具相关，可进入页面映射或正文辅助词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,mobiliario de hotel,50,0%,0%,低,11,19.02,70.90,/hoteles/,review,需人工复核,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,mobiliario para hoteles y restaurantes,50,0%,0%,高,74,10.54,46.61,/catalogo/hoteles/muebles-para-restaurante/,keep,酒店项目家具相关，可进入页面映射或正文辅助词,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
hotel,muebles de hotel,500,0%,0%,低,9,7.48,101.95,/hoteles/,review,需人工复核,"Keyword Planner Discover new keywords; locations Mexico, Colombia, Peru, Chile; language Spanish; date range 2025-06 to 2026-05; Google Search"
