keyword,source_seed_group,avg_monthly_searches,competition,top_of_page_bid_low,top_of_page_bid_high,notes
sillas de terraza,hotel-products-a5,50000,高,0.89,7.33,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
bancos para bar de madera,hotel-products-a5,5000,高,2.09,14.51,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
cama de hoteles,hotel-space-product-a4,5000,中,6.01,43.56,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch4-space-product.csv"
camas de hoteles,hotel-space-product-a4,5000,中,6.01,43.56,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch4-space-product.csv"
comedor de jardin,hotel-products-a5,5000,高,3.85,23.03,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
comedor exterior,hotel-products-a5,5000,高,6.51,32.53,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
comedor para exterior,hotel-products-a5,5000,高,5.11,26.99,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
comedor para jardin,hotel-products-a5,5000,高,2.91,21.50,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
comedores de terraza,hotel-products-a5,5000,高,1.19,8.52,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
jardín y terraza,hotel-products-a5,5000,低,1.36,18.37,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
mesa de exterior,hotel-products-a5,5000,高,5.33,40.21,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
mesa de restaurante,hotel-products-a5,5000,高,5.76,46.46,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
mesa exterior,hotel-products-a5,5000,高,4.58,38.27,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
mesa exterior jardin,hotel-products-a5,5000,高,3.77,25.44,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
mesa exteriores,hotel-products-a5,5000,高,4.58,38.27,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
mesa jardin,hotel-products-a5,5000,高,3.35,25.22,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
mesa jardín,hotel-products-a5,5000,高,3.35,25.22,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
mesa jardin exterior,hotel-products-a5,5000,高,3.77,25.44,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
mesa para balcon,hotel-products-a5,5000,高,1.50,11.86,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
mesa para exterior,hotel-products-a5,5000,高,3.80,37.14,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
mesa para jardin,hotel-products-a5,5000,高,2.74,16.26,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
mesa para terraza,hotel-products-a5,5000,高,1.48,14.81,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
mesa terraza,hotel-products-a5,5000,高,1.49,12.58,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
mesa terraza pequeña,hotel-products-a5,5000,高,1.05,7.65,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
mesa y sillas para jardin,hotel-products-a5,5000,高,2.31,15.24,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
mesas de exterior,hotel-products-a5,5000,高,5.33,40.21,"2025年6月1日 - 2026年5月31日; Keyword Planner Discover; locations Mexico, Colombia, Peru, Chile; language Spanish; Google Search; raw=raw-discover-hotel-expanded-batch5-products.csv"
