keyword,geo_segment,avg_monthly_searches,three_month_change,yoy_change,competition,competition_index,top_of_page_bid_low,top_of_page_bid_high,source_scope,notes
,所有,645800,,,,,,,geo-total summary row,Country/total summary row from Google Ads export; do not treat as keyword-level volume
,墨西哥,253723,,,,,,,geo-total summary row,Country/total summary row from Google Ads export; do not treat as keyword-level volume
,智利,214221,,,,,,,geo-total summary row,Country/total summary row from Google Ads export; do not treat as keyword-level volume
,哥伦比亚,122586,,,,,,,geo-total summary row,Country/total summary row from Google Ads export; do not treat as keyword-level volume
,秘鲁,55270,,,,,,,geo-total summary row,Country/total summary row from Google Ads export; do not treat as keyword-level volume
bancos para bar de madera,,5000,0%,0%,高,99,2.09,14.51,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
bar para terraza,,500,0%,0%,高,95,1.40,9.88,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
cabeceras para hotel,,,,,,,,,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
cama de hoteles,,5000,0%,-90%,中,40,6.01,43.56,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
camas de hoteles,,5000,0%,-90%,中,40,6.01,43.56,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
camas para hotel,,500,0%,0%,高,79,6.02,31.95,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
catálogo de mobiliario hotelero,,,,,,,,,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
catálogo de muebles para hoteles,,,,,,,,,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
closets para hotel,,,,,,,,,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
comedor de jardin,,5000,0%,0%,高,100,3.85,22.61,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
comedor exterior,,5000,0%,0%,高,100,4.09,27.49,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
comedor para exterior,,5000,0%,0%,高,100,3.49,23.86,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
comedor para jardin,,5000,0%,0%,高,100,2.81,21.50,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
comedor terraza 10 personas,,500,0%,0%,高,100,1.98,9.62,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
comedores de terraza,,5000,0%,0%,高,100,1.23,8.87,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
comprar muebles para hotel al por mayor,,,,,,,,,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
cotización de muebles para hoteles,,,,,,,,,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
cotizar muebles para hotel,,,,,,,,,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
equipamiento hotelero,,500,0%,0%,低,28,18.07,52.71,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
fabricante chino de muebles para hoteles,,,,,,,,,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
fabricante de mobiliario hotelero,,0,0%,0%,,,,,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
fabricante de muebles para hoteles,,,,,,,,,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
fábrica de muebles para hoteles,,50,0%,0%,中,45,21.02,46.36,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
importar muebles para hoteles desde china,,,,,,,,,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
jardín y terraza,,5000,0%,0%,低,6,1.36,18.37,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
living para terraza,,500,900%,900%,高,100,1.19,9.94,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
línea de muebles para hoteles,,,,,,,,,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
mesa balcon,,5000,-90%,0%,高,100,1.45,10.22,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
mesa de centro para terraza,,500,0%,0%,高,96,1.51,9.52,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
mesa de exterior,,5000,0%,0%,高,100,3.67,33.80,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
mesa de restaurante,,5000,0%,0%,高,71,5.64,46.38,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
mesa exterior,,5000,0%,0%,高,100,3.33,29.00,keyword-level historical metrics,"Get search volume and forecasts; locations Mexico, Colombia, Peru, Chile; language control disabled and displayed all languages; Google Search; date range 2025-06 to 2026-05"
